areaCode,areaName,areaType,date,newAdmissions
E40000003,London,nhsRegion,2022-05-25,83
E40000003,London,nhsRegion,2022-05-24,65
E40000003,London,nhsRegion,2022-05-23,77
E40000003,London,nhsRegion,2022-05-22,81
E40000003,London,nhsRegion,2022-05-21,53
E40000003,London,nhsRegion,2022-05-20,66
E40000003,London,nhsRegion,2022-05-19,61
E40000003,London,nhsRegion,2022-05-18,67
E40000003,London,nhsRegion,2022-05-17,70
E40000003,London,nhsRegion,2022-05-16,62
E40000003,London,nhsRegion,2022-05-15,78
E40000003,London,nhsRegion,2022-05-14,73
E40000003,London,nhsRegion,2022-05-13,66
E40000003,London,nhsRegion,2022-05-12,86
E40000003,London,nhsRegion,2022-05-11,96
E40000003,London,nhsRegion,2022-05-10,86
E40000003,London,nhsRegion,2022-05-09,82
E40000003,London,nhsRegion,2022-05-08,69
E40000003,London,nhsRegion,2022-05-07,65
E40000003,London,nhsRegion,2022-05-06,92
E40000003,London,nhsRegion,2022-05-05,85
E40000003,London,nhsRegion,2022-05-04,93
E40000003,London,nhsRegion,2022-05-03,92
E40000003,London,nhsRegion,2022-05-02,95
E40000003,London,nhsRegion,2022-05-01,92
E40000003,London,nhsRegion,2022-04-30,77
E40000003,London,nhsRegion,2022-04-29,99
E40000003,London,nhsRegion,2022-04-28,111
E40000003,London,nhsRegion,2022-04-27,116
E40000003,London,nhsRegion,2022-04-26,119
E40000003,London,nhsRegion,2022-04-25,137
E40000003,London,nhsRegion,2022-04-24,136
E40000003,London,nhsRegion,2022-04-23,105
E40000003,London,nhsRegion,2022-04-22,121
E40000003,London,nhsRegion,2022-04-21,116
E40000003,London,nhsRegion,2022-04-20,132
E40000003,London,nhsRegion,2022-04-19,145
E40000003,London,nhsRegion,2022-04-18,173
E40000003,London,nhsRegion,2022-04-17,112
E40000003,London,nhsRegion,2022-04-16,130
E40000003,London,nhsRegion,2022-04-15,134
E40000003,London,nhsRegion,2022-04-14,162
E40000003,London,nhsRegion,2022-04-13,186
E40000003,London,nhsRegion,2022-04-12,217
E40000003,London,nhsRegion,2022-04-11,198
E40000003,London,nhsRegion,2022-04-10,164
E40000003,London,nhsRegion,2022-04-09,172
E40000003,London,nhsRegion,2022-04-08,184
E40000003,London,nhsRegion,2022-04-07,216
E40000003,London,nhsRegion,2022-04-06,218
E40000003,London,nhsRegion,2022-04-05,257
E40000003,London,nhsRegion,2022-04-04,220
E40000003,London,nhsRegion,2022-04-03,234
E40000003,London,nhsRegion,2022-04-02,209
E40000003,London,nhsRegion,2022-04-01,187
E40000003,London,nhsRegion,2022-03-31,246
E40000003,London,nhsRegion,2022-03-30,231
E40000003,London,nhsRegion,2022-03-29,264
E40000003,London,nhsRegion,2022-03-28,263
E40000003,London,nhsRegion,2022-03-27,219
E40000003,London,nhsRegion,2022-03-26,202
E40000003,London,nhsRegion,2022-03-25,181
E40000003,London,nhsRegion,2022-03-24,203
E40000003,London,nhsRegion,2022-03-23,211
E40000003,London,nhsRegion,2022-03-22,213
E40000003,London,nhsRegion,2022-03-21,217
E40000003,London,nhsRegion,2022-03-20,184
E40000003,London,nhsRegion,2022-03-19,211
E40000003,London,nhsRegion,2022-03-18,170
E40000003,London,nhsRegion,2022-03-17,201
E40000003,London,nhsRegion,2022-03-16,206
E40000003,London,nhsRegion,2022-03-15,199
E40000003,London,nhsRegion,2022-03-14,193
E40000003,London,nhsRegion,2022-03-13,168
E40000003,London,nhsRegion,2022-03-12,166
E40000003,London,nhsRegion,2022-03-11,196
E40000003,London,nhsRegion,2022-03-10,177
E40000003,London,nhsRegion,2022-03-09,201
E40000003,London,nhsRegion,2022-03-08,143
E40000003,London,nhsRegion,2022-03-07,159
E40000003,London,nhsRegion,2022-03-06,165
E40000003,London,nhsRegion,2022-03-05,133
E40000003,London,nhsRegion,2022-03-04,129
E40000003,London,nhsRegion,2022-03-03,135
E40000003,London,nhsRegion,2022-03-02,153
E40000003,London,nhsRegion,2022-03-01,137
E40000003,London,nhsRegion,2022-02-28,134
E40000003,London,nhsRegion,2022-02-27,112
E40000003,London,nhsRegion,2022-02-26,92
E40000003,London,nhsRegion,2022-02-25,104
E40000003,London,nhsRegion,2022-02-24,116
E40000003,London,nhsRegion,2022-02-23,106
E40000003,London,nhsRegion,2022-02-22,125
E40000003,London,nhsRegion,2022-02-21,114
E40000003,London,nhsRegion,2022-02-20,111
E40000003,London,nhsRegion,2022-02-19,106
E40000003,London,nhsRegion,2022-02-18,129
E40000003,London,nhsRegion,2022-02-17,149
E40000003,London,nhsRegion,2022-02-16,144
E40000003,London,nhsRegion,2022-02-15,137
E40000003,London,nhsRegion,2022-02-14,160
E40000003,London,nhsRegion,2022-02-13,132
E40000003,London,nhsRegion,2022-02-12,139
E40000003,London,nhsRegion,2022-02-11,161
E40000003,London,nhsRegion,2022-02-10,154
E40000003,London,nhsRegion,2022-02-09,163
E40000003,London,nhsRegion,2022-02-08,178
E40000003,London,nhsRegion,2022-02-07,186
E40000003,London,nhsRegion,2022-02-06,175
E40000003,London,nhsRegion,2022-02-05,158
E40000003,London,nhsRegion,2022-02-04,175
E40000003,London,nhsRegion,2022-02-03,195
E40000003,London,nhsRegion,2022-02-02,218
E40000003,London,nhsRegion,2022-02-01,199
E40000003,London,nhsRegion,2022-01-31,185
E40000003,London,nhsRegion,2022-01-30,175
E40000003,London,nhsRegion,2022-01-29,176
E40000003,London,nhsRegion,2022-01-28,185
E40000003,London,nhsRegion,2022-01-27,188
E40000003,London,nhsRegion,2022-01-26,226
E40000003,London,nhsRegion,2022-01-25,213
E40000003,London,nhsRegion,2022-01-24,231
E40000003,London,nhsRegion,2022-01-23,230
E40000003,London,nhsRegion,2022-01-22,183
E40000003,London,nhsRegion,2022-01-21,210
E40000003,London,nhsRegion,2022-01-20,224
E40000003,London,nhsRegion,2022-01-19,285
E40000003,London,nhsRegion,2022-01-18,301
E40000003,London,nhsRegion,2022-01-17,235
E40000003,London,nhsRegion,2022-01-16,304
E40000003,London,nhsRegion,2022-01-15,253
E40000003,London,nhsRegion,2022-01-14,276
E40000003,London,nhsRegion,2022-01-13,304
E40000003,London,nhsRegion,2022-01-12,306
E40000003,London,nhsRegion,2022-01-11,314
E40000003,London,nhsRegion,2022-01-10,335
E40000003,London,nhsRegion,2022-01-09,277
E40000003,London,nhsRegion,2022-01-08,307
E40000003,London,nhsRegion,2022-01-07,312
E40000003,London,nhsRegion,2022-01-06,310
E40000003,London,nhsRegion,2022-01-05,366
E40000003,London,nhsRegion,2022-01-04,367
E40000003,London,nhsRegion,2022-01-03,401
E40000003,London,nhsRegion,2022-01-02,347
E40000003,London,nhsRegion,2022-01-01,314
E40000003,London,nhsRegion,2021-12-31,319
E40000003,London,nhsRegion,2021-12-30,450
E40000003,London,nhsRegion,2021-12-29,511
E40000003,London,nhsRegion,2021-12-28,456
E40000003,London,nhsRegion,2021-12-27,437
E40000003,London,nhsRegion,2021-12-26,374
E40000003,London,nhsRegion,2021-12-25,364
E40000003,London,nhsRegion,2021-12-24,278
E40000003,London,nhsRegion,2021-12-23,390
E40000003,London,nhsRegion,2021-12-22,386
E40000003,London,nhsRegion,2021-12-21,307
E40000003,London,nhsRegion,2021-12-20,301
E40000003,London,nhsRegion,2021-12-19,245
E40000003,London,nhsRegion,2021-12-18,210
E40000003,London,nhsRegion,2021-12-17,220
E40000003,London,nhsRegion,2021-12-16,193
E40000003,London,nhsRegion,2021-12-15,201
E40000003,London,nhsRegion,2021-12-14,199
E40000003,London,nhsRegion,2021-12-13,169
E40000003,London,nhsRegion,2021-12-12,157
E40000003,London,nhsRegion,2021-12-11,166
E40000003,London,nhsRegion,2021-12-10,162
E40000003,London,nhsRegion,2021-12-09,142
E40000003,London,nhsRegion,2021-12-08,132
