areaCode,areaName,areaType,date,variant,cumWeeklySequenced,newWeeklyPercentage
E12000001,North East,region,2022-08-21,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-08-14,Other,114152.0,6.7
E12000001,North East,region,2022-08-14,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-08-14,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-08-14,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-08-14,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-08-14,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-08-14,VOC-22APR-03 (Omicron BA.4),114152.0,2.5
E12000001,North East,region,2022-08-14,VOC-22APR-04 (Omicron BA.5),114152.0,90.8
E12000001,North East,region,2022-08-14,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-08-07,Other,114033.0,9.1
E12000001,North East,region,2022-08-07,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-08-07,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-08-07,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-08-07,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-08-07,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-08-07,VOC-22APR-03 (Omicron BA.4),114033.0,9.7
E12000001,North East,region,2022-08-07,VOC-22APR-04 (Omicron BA.5),114033.0,81.2
E12000001,North East,region,2022-08-07,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-07-31,Other,113857.0,20.2
E12000001,North East,region,2022-07-31,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-07-31,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-07-31,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-07-31,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-07-31,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-07-31,VOC-22APR-03 (Omicron BA.4),113857.0,13.2
E12000001,North East,region,2022-07-31,VOC-22APR-04 (Omicron BA.5),113857.0,65.8
E12000001,North East,region,2022-07-31,VOC-22JAN-01 (Omicron BA.2),113857.0,0.8
E12000001,North East,region,2022-07-24,Other,113600.0,7.1
E12000001,North East,region,2022-07-24,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-07-24,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-07-24,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-07-24,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-07-24,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-07-24,VOC-22APR-03 (Omicron BA.4),113600.0,8.2
E12000001,North East,region,2022-07-24,VOC-22APR-04 (Omicron BA.5),113600.0,84.0
E12000001,North East,region,2022-07-24,VOC-22JAN-01 (Omicron BA.2),113600.0,0.7
E12000001,North East,region,2022-07-17,Other,113318.0,1.8
E12000001,North East,region,2022-07-17,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-07-17,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-07-17,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-07-17,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-07-17,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-07-17,VOC-22APR-03 (Omicron BA.4),113318.0,15.2
E12000001,North East,region,2022-07-17,VOC-22APR-04 (Omicron BA.5),113318.0,80.4
E12000001,North East,region,2022-07-17,VOC-22JAN-01 (Omicron BA.2),113318.0,2.6
E12000001,North East,region,2022-07-10,Other,112931.0,5.8
E12000001,North East,region,2022-07-10,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-07-10,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-07-10,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-07-10,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-07-10,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-07-10,VOC-22APR-03 (Omicron BA.4),112931.0,9.5
E12000001,North East,region,2022-07-10,VOC-22APR-04 (Omicron BA.5),112931.0,83.3
E12000001,North East,region,2022-07-10,VOC-22JAN-01 (Omicron BA.2),112931.0,1.4
E12000001,North East,region,2022-07-03,Other,112584.0,3.3
E12000001,North East,region,2022-07-03,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-07-03,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-07-03,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-07-03,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-07-03,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-07-03,VOC-22APR-03 (Omicron BA.4),112584.0,15.3
E12000001,North East,region,2022-07-03,VOC-22APR-04 (Omicron BA.5),112584.0,78.7
E12000001,North East,region,2022-07-03,VOC-22JAN-01 (Omicron BA.2),112584.0,2.8
E12000001,North East,region,2022-06-26,Other,112185.0,3.0
E12000001,North East,region,2022-06-26,V-20DEC-01 (Alpha),0.0,0.0
